id,time,text,city_name,coordinates,place
1420199567048548357,2021-07-28 01:48:57+00:00,b'#TokyoOlympics #Tokyo2020 #Olympics #OlympicGames #Olympics2021 Gold Medal \xf0\x9f\xa5\x87 Silver Medal \xf0\x9f\xa5\x88 Bronze Medal \xf0\x9f\xa5\x89 #TeamUSA https://t.co/Pad0lJKJ5D',"Asheville, NC","[[[-82.681852, 35.421216], [-82.452163, 35.421216], [-82.452163, 35.656929], [-82.681852, 35.656929]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='00836cb90515ddd1', url='https://api.twitter.com/1.1/geo/id/00836cb90515ddd1.json', place_type='city', name='Asheville', full_name='Asheville, NC', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-82.681852, 35.421216], [-82.452163, 35.421216], [-82.452163, 35.656929], [-82.681852, 35.656929]]]), attributes={})"
1424027868657487880,2021-08-07 15:21:15+00:00,b'Enhorabuena @SeFutbol \xf0\x9f\xa5\x88\xe2\x9d\xa4\xef\xb8\x8f https://t.co/XvcoP8sXPU',"University Park, FL","[[[-80.3854773, 25.732128], [-80.351653, 25.732128], [-80.351653, 25.761752], [-80.3854773, 25.761752]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='883ee3f98abb082b', url='https://api.twitter.com/1.1/geo/id/883ee3f98abb082b.json', place_type='city', name='University Park', full_name='University Park, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-80.3854773, 25.732128], [-80.351653, 25.732128], [-80.351653, 25.761752], [-80.3854773, 25.761752]]]), attributes={})"
1417713681593425920,2021-07-21 05:10:56+00:00,b'Hehehehe. I still don\xe2\x80\x99t trust Simmons https://t.co/WNHRQdO2nR',"Texas, USA","[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='e0060cda70f5f341', url='https://api.twitter.com/1.1/geo/id/e0060cda70f5f341.json', place_type='admin', name='Texas', full_name='Texas, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-106.645646, 25.837092], [-93.508131, 25.837092], [-93.508131, 36.500695], [-106.645646, 36.500695]]]), attributes={})"
1419483604145606657,2021-07-26 02:23:58+00:00,b'La deck e!!!! \n\n#Tokyo2020',"Chicago, IL","[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='1d9a5370a355ab0c', url='https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json', place_type='city', name='Chicago', full_name='Chicago, IL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]), attributes={})"
1417713936846237697,2021-07-21 05:11:57+00:00,b'Way to go @catosterman\xe2\x80\xbc\xef\xb8\x8f https://t.co/hVPYKW8Kwj',"Alabama, USA","[[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='288de3df481163e8', url='https://api.twitter.com/1.1/geo/id/288de3df481163e8.json', place_type='admin', name='Alabama', full_name='Alabama, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]]), attributes={})"
1418756711226224657,2021-07-24 02:15:33+00:00,b'#Olympics YES Palistine',"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})"
1417713205745524736,2021-07-21 05:09:02+00:00,"b'Palestinian weightlifter from #Gaza, Mohammad Hamada, will be making history by being the first such athlete to com\xe2\x80\xa6 https://t.co/gpUKeHkgBg'","Illinois, USA","[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='f54a2170ff4b15f7', url='https://api.twitter.com/1.1/geo/id/f54a2170ff4b15f7.json', place_type='admin', name='Illinois', full_name='Illinois, USA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]]), attributes={})"
1422540635228278786,2021-08-03 12:51:31+00:00,b'Come SHELLY!! Come ELAINEE!!!!!! \xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2\xf0\x9f\x87\xaf\xf0\x9f\x87\xb2 #Olympics',"Brooklyn, NY","[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='011add077f4d2da3', url='https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', place_type='city', name='Brooklyn', full_name='Brooklyn, NY', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]), attributes={})"
1418242961733689346,2021-07-22 16:14:06+00:00,"b'@soulcedo85 Nah, Spain is the best squad in the olympics and they\xe2\x80\x99re the favorites to win it'","Downey, CA","[[[-118.1704294, 33.90245], [-118.090423, 33.90245], [-118.090423, 33.972897], [-118.1704294, 33.972897]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='07dccb89e8f25a8f', url='https://api.twitter.com/1.1/geo/id/07dccb89e8f25a8f.json', place_type='city', name='Downey', full_name='Downey, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-118.1704294, 33.90245], [-118.090423, 33.90245], [-118.090423, 33.972897], [-118.1704294, 33.972897]]]), attributes={})"
1419495799160020995,2021-07-26 03:12:26+00:00,b'Bowe Becker from #Nevada swimming in the finals RIGHT NOW. LETS GO!!!!!\n\n#TeamUSA #Olympics #Tokyo2020',"Fort Worth, TX","[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]","Place(_api=<tweepy.api.API object at 0x2b0bcb078940>, id='42e46bc3663a4b5f', url='https://api.twitter.com/1.1/geo/id/42e46bc3663a4b5f.json', place_type='city', name='Fort Worth', full_name='Fort Worth, TX', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x2b0bcb078940>, type='Polygon', coordinates=[[[-97.538285, 32.569477], [-97.033542, 32.569477], [-97.033542, 32.990456], [-97.538285, 32.990456]]]), attributes={})"
